Date,Price,Open,High,Low,Vol,Change %
3/30/2022,"45,133.00","46,216.00","46,667.00","41,973.00",1.03M,-2.34%
3/29/2022,"46,216.00","45,133.00","46,757.00","44,952.00",1.09M,2.40%
3/28/2022,"45,133.00","45,133.00","45,404.00","43,779.00",664.30K,0.40%
3/25/2022,"44,952.00","43,779.00","45,584.00","43,779.00",1.16M,2.47%
3/24/2022,"43,869.00","43,779.00","44,411.00","43,147.00",620.25K,0.00%
3/23/2022,"43,869.00","43,779.00","44,862.00","43,147.00",734.99K,0.21%
3/22/2022,"43,779.00","43,688.00","43,869.00","43,147.00",429.05K,0.00%
3/21/2022,"43,779.00","41,973.00","44,952.00","41,973.00",1.73M,4.30%
3/18/2022,"41,973.00","41,793.00","42,786.00","41,612.00",677.18K,0.87%
3/17/2022,"41,612.00","41,883.00","42,876.00","41,432.00",439.05K,-0.65%
3/16/2022,"41,883.00","41,883.00","42,515.00","41,522.00",270.01K,0.00%
3/15/2022,"41,883.00","40,800.00","42,966.00","40,619.00",679.53K,1.53%
3/14/2022,"41,251.00","42,425.00","43,327.00","41,251.00",528.67K,-2.77%
3/11/2022,"42,425.00","41,071.00","43,057.00","40,619.00",1.08M,2.62%
3/10/2022,"41,342.00","41,071.00","41,973.00","39,265.00",475.17K,-0.65%
3/9/2022,"41,612.00","41,161.00","42,064.00","40,439.00",699.84K,1.10%
3/8/2022,"41,161.00","43,959.00","43,959.00","41,161.00",781.97K,-6.37%
3/7/2022,"43,959.00","42,966.00","44,501.00","42,425.00",858.61K,2.31%
3/4/2022,"42,966.00","43,327.00","43,869.00","42,966.00",524.03K,-0.83%
3/3/2022,"43,327.00","42,154.00","43,508.00","41,793.00",860.52K,2.56%
3/2/2022,"42,244.00","42,154.00","42,876.00","41,522.00",749.36K,0.21%
3/1/2022,"42,154.00","42,154.00","42,425.00","41,161.00",399.60K,0.21%
2/28/2022,"42,064.00","40,439.00","42,696.00","39,717.00",849.52K,4.02%
2/25/2022,"40,439.00","40,619.00","41,161.00","40,258.00",526.34K,-0.44%
2/24/2022,"40,619.00","41,071.00","41,703.00","39,536.00",875.60K,-0.66%
2/23/2022,"40,890.00","40,168.00","41,251.00","39,897.00",601.96K,1.80%
2/22/2022,"40,168.00","40,890.00","40,890.00","38,995.00",664.54K,-1.77%
2/21/2022,"40,890.00","40,258.00","41,251.00","39,807.00",614.74K,1.57%
2/18/2022,"40,258.00","39,717.00","40,258.00","39,265.00",483.81K,1.36%
2/17/2022,"39,717.00","38,814.00","40,168.00","38,814.00",522.04K,1.15%
2/16/2022,"39,265.00","38,182.00","39,265.00","37,821.00",567.75K,2.84%
2/15/2022,"38,182.00","38,092.00","38,634.00","37,731.00",229.11K,0.24%
2/14/2022,"38,092.00","38,814.00","39,717.00","37,731.00",545.10K,-1.86%
2/11/2022,"38,814.00","38,363.00","38,814.00","37,731.00",507.60K,1.18%
2/10/2022,"38,363.00","38,634.00","39,175.00","38,182.00",371.27K,0.00%
2/9/2022,"38,363.00","37,460.00","38,904.00","37,460.00",574.66K,2.41%
2/8/2022,"37,460.00","37,911.00","37,911.00","36,919.00",500.81K,-1.19%
2/7/2022,"37,911.00","36,557.00","38,363.00","36,377.00",380.24K,4.22%
