Date,Price,Open,High,Low,Vol,Change %
8/6/2018,"47,809.90","48,832.60","48,832.60","47,707.70",355.52K,-2.09%
8/3/2018,"48,832.60","49,599.60","49,599.60","48,679.20",432.52K,0.00%
8/2/2018,"48,832.60","47,809.90","48,832.60","47,809.90",508.18K,1.60%
8/1/2018,"48,065.60","49,088.30","49,190.50","47,861.10",787.54K,-2.59%
7/31/2018,"49,343.90","49,548.50","49,548.50","48,730.30",733.51K,-0.41%
7/30/2018,"49,548.50","48,832.60","49,548.50","48,116.70",779.93K,3.64%
7/27/2018,"47,809.90","46,531.60","47,809.90","46,275.90",655.45K,3.89%
7/26/2018,"46,020.20","47,042.90","47,503.10","45,764.60",975.43K,-2.17%
7/25/2018,"47,042.90","47,656.50","48,781.50","47,042.90",663.18K,-1.18%
7/24/2018,"47,605.40","49,088.30","49,088.30","47,094.10",641.23K,-3.02%
7/23/2018,"49,088.30","49,037.10","50,264.30","48,576.90",889.35K,0.95%
7/20/2018,"48,628.10","47,042.90","48,628.10","47,042.90",1.49M,1.17%
7/19/2018,"48,065.60","49,497.30","49,497.30","48,065.60",1.13M,-2.08%
7/18/2018,"49,088.30","47,912.20","49,599.60","47,298.60",1.44M,2.24%
7/17/2018,"48,014.50","46,173.60","48,321.30","45,560.00",1.19M,3.99%
7/16/2018,"46,173.60","43,974.90","46,275.90","43,974.90",1.02M,6.24%
7/13/2018,"43,463.60","42,440.90","43,923.80","42,440.90",386.58K,3.41%
7/12/2018,"42,031.80","41,571.60","42,952.20","41,418.20",203.40K,-0.36%
7/11/2018,"42,185.20","42,185.20","42,901.10","41,111.40",759.09K,-3.51%
7/10/2018,"43,719.20","42,185.20","43,974.90","41,929.60",567.15K,3.64%
7/9/2018,"42,185.20","43,974.90","44,486.20","42,185.20",707.79K,-4.62%
7/6/2018,"44,230.60","41,162.60","44,230.60","40,446.70",835.40K,6.40%
7/5/2018,"41,571.60","42,850.00","43,361.30","39,884.20",930.47K,0.00%
7/4/2018,"41,571.60","38,861.50","41,571.60","38,350.20",876.87K,6.97%
7/3/2018,"38,861.50","40,906.90","41,929.60","38,861.50",1.38M,-6.17%
7/2/2018,"41,418.20","43,207.90","43,719.20","41,418.20",1.31M,-6.90%
6/29/2018,"44,486.20","45,508.90","46,531.60","43,821.50",1.03M,-3.65%
6/28/2018,"46,173.60","49,599.60","50,059.80","46,173.60",1.66M,-6.91%
6/27/2018,"49,599.60","51,696.10","52,616.50","49,599.60",910.67K,-5.09%
6/26/2018,"52,258.50","51,951.70","52,258.50","50,520.00",814.38K,-1.26%
6/25/2018,"52,923.30","54,150.50","54,917.50","52,923.30",574.19K,-1.43%
6/22/2018,"53,690.30","51,644.90","53,690.30","50,008.70",1.16M,1.94%
6/21/2018,"52,667.60","54,713.00","54,713.00","52,054.00",550.58K,-3.74%
6/20/2018,"54,713.00","55,735.60","55,735.60","53,690.30",738.22K,0.94%
6/19/2018,"54,201.60","55,735.60","56,247.00","53,741.40",1.50M,-6.19%
6/18/2018,"57,781.00","60,849.00","60,900.10","57,781.00",818.38K,-5.04%
6/15/2018,"60,849.00","60,849.00","62,383.00","60,235.40",450.13K,0.00%
6/14/2018,"60,849.00","61,360.30","62,894.30","60,849.00",1.19M,2.29%
6/13/2018,"59,485.50","58,667.30","60,337.70","58,121.90",2.40M,-1.97%
6/12/2018,"60,678.60","61,428.50","61,462.60","59,315.00",1.37M,-2.20%
6/11/2018,"62,042.10","62,144.40","63,030.70","61,360.40",834.61K,-0.93%
6/8/2018,"62,621.70","62,042.10","63,064.80","61,701.30",562.35K,0.38%
6/7/2018,"62,383.00","63,064.80","63,405.70","61,530.80",888.59K,-1.03%
6/6/2018,"63,030.70","61,360.40","63,030.70","60,337.70",1.09M,3.30%
6/5/2018,"61,019.50","59,315.00","61,019.50","58,974.10",744.75K,3.47%
6/4/2018,"58,974.10","58,292.30","58,974.10","57,985.50",581.71K,1.35%
6/1/2018,"58,190.10","56,247.00","58,974.10","56,247.00",695.97K,2.22%
5/31/2018,"56,928.80","55,224.30","56,928.80","54,372.10",806.88K,3.09%
5/30/2018,"55,224.30","56,247.00","56,417.40","54,883.40",370.16K,-1.82%
5/29/2018,"56,247.00","55,190.20","57,610.60","52,156.30",1.69M,1.91%
5/28/2018,"55,190.20","58,633.20","58,974.10","55,190.20",1.86M,-6.95%
5/25/2018,"59,315.00","60,678.60","60,678.60","59,315.00",366.59K,-2.79%
5/24/2018,"61,019.50","61,019.50","61,360.40","59,996.80",273.79K,0.00%
5/23/2018,"61,019.50","60,303.60","61,019.50","59,349.10",453.65K,1.19%
5/22/2018,"60,303.60","61,360.40","61,360.40","59,315.00",1.04M,-1.72%
5/21/2018,"61,360.40","62,519.40","62,723.90","61,360.40",391.84K,-0.55%
5/18/2018,"61,701.30","61,871.70","62,042.10","59,928.60",850.77K,0.00%
5/17/2018,"61,701.30","62,383.00","62,383.00","61,189.90",349.76K,-0.55%
5/16/2018,"62,042.10","62,417.10","63,064.80","61,633.10",862.77K,-1.62%
5/15/2018,"63,064.80","63,235.30","63,610.20","62,758.00",615.89K,-0.54%
5/14/2018,"63,405.70","63,064.80","63,678.40","62,212.60",608.96K,1.75%
5/11/2018,"62,314.80","60,101.50","62,314.80","59,352.30",1.31M,3.39%
5/10/2018,"60,271.70","62,144.60","62,655.40","60,271.70",990.45K,-3.01%
5/9/2018,"62,144.60","62,348.90","62,689.40","61,463.60",510.61K,-0.33%
5/8/2018,"62,348.90","62,348.90","64,017.40","62,348.90",988.00K,0.11%
5/7/2018,"62,280.80","59,250.20","62,280.80","58,909.70",1.28M,6.96%
5/4/2018,"58,228.60","57,888.10","58,875.60","57,888.10",606.64K,0.59%
5/3/2018,"57,888.10","57,888.10","58,569.10","56,798.50",580.96K,-0.58%
5/2/2018,"58,228.60","58,909.70","59,761.00","57,547.60",704.03K,0.00%
4/27/2018,"58,228.60","56,355.80","59,590.70","55,845.00",731.49K,2.40%
4/26/2018,"56,866.60","58,228.60","58,535.10","56,866.60",895.73K,-4.02%
4/24/2018,"59,250.20","58,228.60","59,250.20","57,207.10",579.87K,0.00%
4/23/2018,"59,250.20","59,590.70","60,612.30","58,569.10",928.83K,0.93%
4/20/2018,"58,705.40","56,185.50","58,705.40","56,185.50",693.07K,4.48%
4/19/2018,"56,185.50","58,569.10","59,522.60","55,504.50",2.08M,-5.71%
4/18/2018,"59,590.70","61,974.30","62,655.40","58,909.70",1.56M,-3.58%
4/17/2018,"61,804.10","62,689.40","63,574.80","61,463.60",653.60K,-1.73%
4/16/2018,"62,893.70","63,336.40","64,358.00","62,859.70",470.29K,-0.70%
4/13/2018,"63,336.40","64,358.00","64,800.60","63,268.30",558.32K,-0.16%
4/12/2018,"63,438.60","63,506.70","64,358.00","62,655.40",444.61K,-0.37%
4/11/2018,"63,676.90","65,720.00","67,082.10","63,676.90",706.32K,-3.11%
4/10/2018,"65,720.00","62,689.40","65,720.00","61,463.60",1.05M,4.32%
4/9/2018,"62,995.90","65,379.50","65,720.00","62,825.60",2.02M,-4.64%
4/6/2018,"66,060.50","67,763.10","68,273.90","66,060.50",1.75M,-3.24%
4/5/2018,"68,273.90","68,444.20","69,465.70","68,171.80",294.53K,-0.45%
4/4/2018,"68,580.40","69,125.20","69,125.20","66,979.90",1.59M,-0.54%
4/3/2018,"68,955.00","68,989.00","69,465.70","68,580.40",625.92K,-0.93%
4/2/2018,"69,601.90","70,827.80","70,861.90","68,444.20",827.31K,-0.78%
3/30/2018,"70,146.80","67,422.60","70,487.30","67,082.10",1.12M,4.04%
3/29/2018,"67,422.60","67,082.10","68,069.60","66,435.10",588.43K,0.51%
3/28/2018,"67,082.10","64,358.00","67,082.10","64,358.00",912.91K,4.51%
3/27/2018,"64,187.70","63,676.90","65,345.50","63,676.90",708.51K,1.73%
3/26/2018,"63,098.00","61,293.30","63,098.00","61,293.30",544.19K,2.38%
